,game,gameclass
0,,"('value', 'b')"
1,  ALL NEW GAMES THAT JUST CAME OUT,"('value', 'g')"
2,  CALL OF DUTY 4,"('value', 'a')"
3,  DANCE DANCE REVOLUTION,"('value', 'b')"
4,  DUNGEONS AND DRAGONS,"('value', 'b')"
5,  GATE  HILLCON,"('value', 'c')"
6,  GUITAR HERO,"('value', 'b')"
7,  I THINK IT'S CALLED THEATER TYCOON,"('value', 'b')"
8,  KARAOKE,"('value', 'b')"
9,  MADDEN,"('value', 'a')"
10,  MORTAL KOMBAT,"('value', 'a')"
11,  NARUTO ,"('value', 'a')"
12,  NASCAR FOR THE CUP,"('value', 'b')"
13,  SONIC THE HEDGE HOG,"('value', 'a')"
14,  SPYRO,"('value', 'a')"
15,  SPYRO THE DRAGAON,"('value', 'b')"
16,  STAR FOX,"('value', 'a')"
17,  THE SIMS,"('value', 'c')"
18,  THE SIMS 2 CASTAWAY,"('value', 'b')"
19,  THE SIMS FAMILY,"('value', 'b')"
20,  WIII SPORTS,"('value', 'a')"
21, .HACK,"('value', 'b')"
22, 07 MADDEN,"('value', 'a')"
23, 2 MOONS,"('value', 'a')"
24, 300: MARCH TO GLORY,"('value', 'a')"
25, 3D GOLF,"('value', 'b')"
26, A CAR RACING GAME,"('value', 'b')"
27, ACE COMBAT 4,"('value', 'a')"
28, ACE COMBAT 6,"('value', 'b')"
29, ACE COMPABT IV SHATTERED SKIES,"('value', 'a')"
30, ACTION GAMES,"('value', 'b')"
31, ADDICTING GAMES.COM,"('value', 'a')"
32, ADDICTINGGAMES.COM,"('value', 'b')"
33, ADDICTION SOLITAIRE,"('value', 'b')"
34, ADVENTURE GAMES,"('value', 'b')"
35, ADVENTURE QUEST,"('value', 'b')"
36, AGE OF EMPIRES,"('value', 'b')"
37, AGE OF IMPIRE,"('value', 'a')"
38, AGE OF MYTHOLOGY,"('value', 'a')"
39, AGENT UNDER FIRE,"('value', 'a')"
40, ALL OF THE MARIO GAMES,"('value', 'b')"
41, AMERICAN FARMER,"('value', 'b')"
42, AMERICAN GIRL,"('value', 'a')"
43, AMPED,"('value', 'c')"
44, AMPLITUDE,"('value', 'b')"
45, AND CORAL GAME,"('value', 'b')"
46, AND DANCE DANCE REVOLUTION,"('value', 'b')"
47, AND DRIVER III,"('value', 'b')"
48, AND FINALY FANTASY,"('value', 'b')"
49, AND GAMES ON THE COMPUTER; TV SHOW GAMES ON THE DISNEY CHANNEL,"('value', 'b')"
50, AND GRAND THEFT AUTO,"('value', 'a')"
51, AND HALO II,"('value', 'a')"
52, AND HARRY POTTER,"('value', 'a')"
53, AND MARIO PARTY DS,"('value', 'a')"
54, AND MY SIMS,"('value', 'b')"
55, AND SCRABBLE,"('value', 'b')"
56, AND STARCRAFT BROOD WARS,"('value', 'a')"
57, AND UM SIMS,"('value', 'a')"
58, ANIMAL CROSSING,"('value', 'b')"
59, ANIME GAMES OF ANY KIND,"('value', 'a')"
60, ANOTHER SIMS GAME,"('value', 'a')"
61, ANYTHING THAT HAS TO DO WITH SPORTS,"('value', 'b')"
62, ARCADE GAMES,"('value', 'b')"
63, ARCADE LINES,"('value', 'b')"
64, ASSASIN'S CREED,"('value', 'c')"
65, ASSASSIN'S CREED,"('value', 'a')"
66, ASSASSINS CREED,"('value', 'a')"
67, ATV OFF ROAD,"('value', 'b')"
68, ATV OFF ROAD FURY,"('value', 'c')"
69, ATV OFF ROAD SERIES MLB BASEBALL,"('value', 'a')"
70, BARBIES FASHION SHOW,"('value', 'b')"
71, BASE JUMPING,"('value', 'b')"
72, BASEBALL,"('value', 'b')"
73, BASEBALL GAME,"('value', 'b')"
74, BASKET,"('value', 'b')"
75, BASKETBALL,"('value', 'g')"
76, BATTLE FRONT,"('value', 'a')"
77, BATTLEFIELD,"('value', 'a')"
78, BATTLEFIELD 2,"('value', 'a')"
79, BEAUTIFUL JOE,"('value', 'a')"
80, BEJEWEL,"('value', 'b')"
81, BEJEWELED,"('value', 'b')"
82, BEJEWELED 2,"('value', 'a')"
83, BEJEWLED,"('value', 'b')"
84, BEJEWLLED,"('value', 'b')"
85, BEJWELED,"('value', 'b')"
86, BIG GAME HUNTER,"('value', 'a')"
87, BIG MOTHER TRUCKERS,"('value', 'a')"
88, BIOSHOCK,"('value', 'c')"
89, BLACK,"('value', 'c')"
90, BLACKJACK,"('value', 'b')"
91, BLOON'S POWER DEFENSE 2,"('value', 'a')"
92, BOOKWORM,"('value', 'b')"
93, BOWLING,"('value', 'b')"
94, BOWLING GAME; FIGHTING GAME.,"('value', 'b')"
95, BRAIN AGE,"('value', 'f')"
96, BRAINQUEST,"('value', 'b')"
97, BUBBLE BRAKER,"('value', 'b')"
98, BUBBLE BREAKER,"('value', 'b')"
99, BUBBLE TROUBLE,"('value', 'a')"
100, BUBBLES,"('value', 'b')"
101, BUDDHA KAI,"('value', 'a')"
102, BURN OUT THE NEW ONE,"('value', 'a')"
103, BURNOUT,"('value', 'i')"
104, BURNOUT 3,"('value', 'a')"
105, BURNOUT LEGENDS,"('value', 'c')"
106, BURNOUT REVENGE,"('value', 'c')"
107, CABELA'S AFRICAN SAFARI,"('value', 'a')"
108, CABELA'S DANGEROUS HUNTS,"('value', 'a')"
109, CALL DUTY 4,"('value', 'a')"
110, CALL DUTY OF 4,"('value', 'c')"
111, CALL OF DUITY 4,"('value', 'c')"
112, CALL OF DUTY,"('value', 'd')"
113, CALL OF DUTY 03,"('value', 'a')"
114, CALL OF DUTY 2(BIG RED ONE),"('value', 'a')"
115, CALL OF DUTY 3,"('value', 'b')"
116, CALL OF DUTY 4,"('value', 'd')"
117, CALL OF DUTY FOUR,"('value', 'a')"
118, CALL OF DUTY IV,"('value', 'c')"
119, CALL OF DUTY ROADS OF VICTORY,"('value', 'c')"
120, CALL TO DUTY,"('value', 'a')"
121, CALWONDER,"('value', 'b')"
122, CANDY STAND,"('value', 'b')"
123, CAR RACING GAME,"('value', 'b')"
124, CARBON,"('value', 'a')"
125, CARD GAMES,"('value', 'b')"
126, CARMEN SANDIEGO,"('value', 'c')"
127, CARS,"('value', 'b')"
128, CENTIPEDE,"('value', 'a')"
129, CHECKERS ONLINE,"('value', 'b')"
130, CHECKIN 5,"('value', 'a')"
131, CHESS,"('value', 'b')"
132, CHICKEN INVADERS ,"('value', 'a')"
133, CLUB PENGUIN,"('value', 'c')"
134, CLUE,"('value', 'a')"
135, CLUE FINDERS,"('value', 'b')"
136, COLLAPSE,"('value', 'b')"
137, COLLASPE,"('value', 'b')"
138, COLLEGE FOOTBALL,"('value', 'b')"
139, COLLEGE FOOTBALL 08,"('value', 'b')"
140, COLLESUEM,"('value', 'b')"
141, COLLGE HOOPS O8,"('value', 'c')"
142, COMMAND AND CONQUER GENERALS,"('value', 'a')"
143, COOKING GAME,"('value', 'b')"
144, COOKING MAMA COOKOFF,"('value', 'b')"
145, CORVETTE (RACING GAME),"('value', 'a')"
146, COUNTER STRIKE,"('value', 'b')"
147, COUNTER STRIKE: SOURCE,"('value', 'a')"
148, COUNTER-STRIKE,"('value', 'a')"
149, COUNTERSTRIKE,"('value', 'a')"
150, CRASH BANDCOOT,"('value', 'a')"
151, CRASH BANDICOOT,"('value', 'b')"
152, CRASH BANDICOOT 2,"('value', 'b')"
153, CRAZY TAXI,"('value', 'b')"
154, CRAZY TAXI 4,"('value', 'b')"
155, CREATURES,"('value', 'f')"
156, CROSSWORD PUZZELS,"('value', 'b')"
157, CROSSWORD PUZZLES,"('value', 'b')"
158, CUBED,"('value', 'b')"
159, DANCE  DANCE REVOLUTION,"('value', 'a')"
160, DANCE DANCE DANCE REVOULUTION,"('value', 'b')"
161, DANCE DANCE REVELUTION,"('value', 'b')"
162, DANCE DANCE REVOLUTION,"('value', 'k')"
163, DANCE DANCE REVOLUTION 3,"('value', 'b')"
164, DANCE DANCE REVOLUTION DISNEY,"('value', 'b')"
165, DANCE DANCE REVOLUTTION,"('value', 'b')"
166, DANCE GAME,"('value', 'b')"
167, DANCE PRAISE AND SCATTER GORIES,"('value', 'b')"
168, DARKEST FAIRY,"('value', 'b')"
169, DDR,"('value', 'a')"
170, DEAD OR ALIVE,"('value', 'a')"
171, DEAD RISING,"('value', 'b')"
172, DEAL OR NO DEAL,"('value', 'b')"
173, DEATHWATCH,"('value', 'a')"
174, DEERHUNTING,"('value', 'a')"
175, DEFEND YOUR CASTLE,"('value', 'a')"
176, DEVIL MAY CRY,"('value', 'c')"
177, DEVIL MAY CRY 3,"('value', 'a')"
178, DEVIL OF 7,"('value', 'g')"
179, DIABLO,"('value', 'd')"
180, DICE,"('value', 'b')"
181, DIDDY KONG RACING,"('value', 'b')"
182, DINER DASH,"('value', 'b')"
183, DIRT,"('value', 'c')"
184, DIRT BIKE GAME,"('value', 'b')"
185, DIRT TRACK RACING,"('value', 'g')"
186, DISNEY FAIRIES,"('value', 'b')"
187, DODGEBALL,"('value', 'a')"
188, DOFUS,"('value', 'a')"
189, DOGS,"('value', 'b')"
190, DOMINOES,"('value', 'b')"
191, DONKEY KONG,"('value', 'b')"
192, DOUBLE 07,"('value', 'a')"
193, DRAGON BALL Z,"('value', 'a')"
194, DRAGON BALL Z 3,"('value', 'a')"
195, DRAGONCONCOCHI,"('value', 'a')"
196, DRAWN TO LIFE,"('value', 'a')"
197, DRESS UP DOLLS,"('value', 'b')"
198, DRIVERS ED,"('value', 'b')"
199, DUNGEONS AND DRAGONS HEROES,"('value', 'a')"
200, DYNASTY WARRIORS,"('value', 'a')"
201, DYNASTY WARRIORS 5 EMPIRES,"('value', 'a')"
202, EA BASEBALL GAME,"('value', 'b')"
203, ELDERS GIRLS III,"('value', 'a')"
204, ELDERS SCROLLS FOR:OBLIVION,"('value', 'a')"
205, ELECTRIC MAN,"('value', 'a')"
206, EMPEROR EARTH 2,"('value', 'b')"
207, EMPROIR EARTH,"('value', 'a')"
208, EXCAPE,"('value', 'a')"
209, EXTREME COMBAT,"('value', 'a')"
210, FABLE,"('value', 'a')"
211, FABLE LOST CHAPTERS,"('value', 'b')"
212, FAIRLY ODD PARENTS,"('value', 'a')"
213, FAMILY GUY THE VIDEO GAME,"('value', 'a')"
214, FANTASTIC 4,"('value', 'a')"
215, FARCRY,"('value', 'a')"
216, FARCRY VENGEANCE AND HALO 3,"('value', 'a')"
217, FAST AND THE FURIOUS,"('value', 'a')"
218, FIELD & STREAM TROPHY BIG GAME HUNTING,"('value', 'a')"
219, FIFA,"('value', 'b')"
220, FIFA 08,"('value', 'g')"
221, FIFA 2006,"('value', 'a')"
222, FIFA 2008,"('value', 'e')"
223, FIFA SOCCER,"('value', 'g')"
224, FIGHT NIGHT ROUND 3,"('value', 'b')"
225, FIGHTING GAMES,"('value', 'a')"
226, FIGHTNIGHT 3,"('value', 'a')"
227, FINAL FANASTY,"('value', 'b')"
228, FINAL FANTASY,"('value', 'h')"
229, FINAL FANTASY 11,"('value', 'a')"
230, FINAL FANTASY XII,"('value', 'b')"
231, FINAL FANTSY 2,"('value', 'b')"
232, FIRST PERSON GAMES,"('value', 'a')"
233, FLIGHT SIMULATOR,"('value', 'b')"
234, FLIP WORDS,"('value', 'b')"
235, FOOTBALL,"('value', 'c')"
236, FOOTBALL GAMES,"('value', 'a')"
237, FORD RACING,"('value', 'f')"
238, FORD RACING 2,"('value', 'b')"
239, FORD RACING TWO,"('value', 'a')"
240, FORZA MOTORSPORT,"('value', 'b')"
241, FREE CELL,"('value', 'b')"
242, FREECELL,"('value', 'e')"
243, FROGGER,"('value', 'b')"
244, FRONTLINE,"('value', 'a')"
245, FULL METAL ALCHEMIST,"('value', 'a')"
246, FUN BRAIN,"('value', 'b')"
247, FUTURE TOOLS OF DESTRUCTION,"('value', 'a')"
248, GAIA,"('value', 'a')"
249, GAMEBOY POKEMON GAMES,"('value', 'a')"
250, GEARS OF WAR,"('value', 'c')"
251, GEARS OF WAR 3,"('value', 'a')"
252, GEARS OF WARS,"('value', 'c')"
253, GHOST RECON,"('value', 'a')"
254, GIUTAR HERO,"('value', 'b')"
255, GOD OF WAR,"('value', 'e')"
256, GOD OF WAR 2,"('value', 'a')"
257, GRAD THEFT AUTO,"('value', 'a')"
258, GRAN TURISMO,"('value', 'a')"
259, GRAN TURISMO 5,"('value', 'a')"
260, GRAN TURISMO IV,"('value', 'a')"
261, GRAND THEFT AUTO,"('value', 'c')"
262, GRAND THEFT AUTO 2K8,"('value', 'c')"
263, GRAND THEFT AUTO RACING GAME,"('value', 'a')"
264, GRAND THEFT AUTO VICE CITY,"('value', 'a')"
265, GRAND THEFT AUTO: SAN ANDREAS,"('value', 'c')"
266, GRAND THEFT AUTO: SAN ANDRES,"('value', 'a')"
267, GRAND TURISMO,"('value', 'a')"
268, GRAW 2,"('value', 'a')"
269, GREG HASTINGS,"('value', 'a')"
270, GREMP THE FIRST ONE,"('value', 'a')"
271, GUIATAR HERO,"('value', 'a')"
272, GUILD WARS,"('value', 'a')"
273, GUITAR HERO,"('value', 'k')"
274, GUITAR HERO 2,"('value', 'k')"
275, GUITAR HERO 3,"('value', 'k')"
276, GUITAR HERO II,"('value', 'a')"
277, GUITAR HERO III,"('value', 'a')"
278, GUITAR HERO III: LEGENDS OF ROCK,"('value', 'a')"
279, GUITAR HERO2,"('value', 'b')"
280, GUITER HERO,"('value', 'a')"
281, GUNS AREA,"('value', 'a')"
282, GUNZ,"('value', 'a')"
283, GUTUAR HERO,"('value', 'a')"
284, HALF LIFE 2,"('value', 'a')"
285, HALO,"('value', 'd')"
286, HALO 02,"('value', 'a')"
287, HALO 03,"('value', 'b')"
288, HALO 1,"('value', 'a')"
289, HALO 2,"('value', 'd')"
290, HALO 3,"('value', 'd')"
291, HALO II,"('value', 'a')"
292, HALO SERIES,"('value', 'a')"
293, HALO2,"('value', 'a')"
294, HALO3,"('value', 'a')"
295, HANNAH MONTANA,"('value', 'b')"
